ModelCat,Model,MSE,MAE,R2,RMSE
General,CNN,1.2139383935290988,0.8667821857084831,-0.450505552312612,1.10178872454255
General,RNN,0.019934245898352056,0.10823121667839584,0.9761810529176319,0.14118868898871487
General,GRU,0.01918803765919665,0.10457016695704724,0.9770726790494405,0.13852089250072225
General,LSTM,0.015563148643730786,0.09832146922443319,0.98140397104208,0.12475234925134991
MA,CNN,1.5908541236176217,0.9604853348351187,-0.9008730191969676,1.2612906578650385
MA,RNN,0.0396809195641579,0.15235721950729686,0.9525862313479078,0.19920070171602786
MA,GRU,0.035504520267784674,0.14655871054364575,0.9575765096028468,0.18842643197753514
MA,LSTM,0.10278574639622287,0.2814411450425784,0.8771838038560698,0.32060216218270093
AE,CNN,1.5630651654267582,1.1395534230603113,-0.8676686668478761,1.250226045732034
AE,RNN,0.019694151885552742,0.10562104723105827,0.9764679354320155,0.14033585388471737
AE,GRU,0.01914057559144294,0.10640567609833344,0.9771293903233964,0.13834946906816425
AE,LSTM,0.015404513468682265,0.0972129331818885,0.981593520366351,0.12411492041121512
MA AE,CNN,2.721494215343399,1.420664729807112,-2.2518474504016344,1.6496951886161877
MA AE,RNN,0.046583821085049854,0.18127660265399348,0.9443381216938317,0.21583285450794987
MA AE,GRU,0.041247785600587096,0.1560834412111176,0.9507140211124581,0.2030955085682278
MA AE,LSTM,0.05865610364908331,0.18380560946133398,0.929913243972228,0.24219022203442342
HY,CNN LSTM,0.8696085125442541,0.7584142914083268,-0.03907412641983998,0.9325280223908845
HY,LSTM RNN GRU,0.016264198956981814,0.10207033723954938,0.9805663030209996,0.12753116857059615
HY,CNN RNN GRU,0.8816321061148585,0.7705039213763343,-0.0534408268437474,0.9389526644697583
HY,CNN GRU,0.8796308889142773,0.7711685793929629,-0.051049620933875994,0.9378863944605856
HY,RNN GRU,0.02059874522542882,0.11329200293635949,0.9753870587836868,0.14352262966316084
HY,RNN LSTM,0.017607313540668162,0.10204817572492172,0.9789614479711767,0.1326925526948222
MA HY,CNN LSTM,0.8771569165086456,0.7720128162701925,-0.04809353129228833,0.9365665574366008
MA HY,LSTM RNN GRU,0.12107966876726237,0.24124629994233449,0.8553248395838993,0.3479650395761942
MA HY,CNN RNN GRU,0.8738222665573391,0.7753400336371528,-0.04410903892004581,0.9347846097135634
MA HY,CNN GRU,0.8821925382840349,0.7692759729756249,-0.05411047365401234,0.9392510517875585
MA HY,RNN GRU,0.036244432418777006,0.15223829464779956,0.9566924065141242,0.19037970590054237
MA HY,RNN LSTM,0.06693024615187898,0.18580850862794449,0.9200266717170741,0.25870880570996996
