ModelCat,Model,MSE,RMSE
General,CNN,13.079883297439263,3.616612129803148
General,RNN,79.95325114497119,8.941658187661346
General,GRU,947.2915675342252,30.778102078169557
General,LSTM,955.3259253055209,30.908347178481105
MA,CNN,51.550732063925366,7.179883847523257
MA,RNN,56.50525288556744,7.516997597815728
MA,GRU,21.500425437847714,4.636855123663851
MA,LSTM,27.927111327483132,5.284610801892901
AE,CNN,75.9519453900851,8.715041330371594
AE,RNN,64.34696760897071,8.021656163721474
AE,GRU,52.85405716449972,7.270079584468091
AE,LSTM,8.452231243953143,2.9072721310453797
MA AE,CNN,656.7068127395349,25.626291435545934
MA AE,RNN,63.51195451554791,7.969438782972607
MA AE,GRU,48.549733400312974,6.967763873748376
MA AE,LSTM,48.730338726675775,6.980711906867077
HY,LSTM,205.39037749635574,14.331447152899658
HY,LSTM RNN GRU,57.592393605591546,7.588965252627761
HY,CNN RNN GRU,28.783472801709884,5.365023094238261
HY,CNN GRU,245.55332929373904,15.670141329730853
HY,RNN GRU,226.16773723574164,15.038874201074416
HY,RNN LSTM,202.219079781156,14.22037551477302
MA HY,CNN LSTM,231.7870962593061,15.22455569989831
MA HY,LSTM RNN GRU,52.046309467740485,7.214312820202662
MA HY,CNN RNN GRU,28.964066586499126,5.381827439308987
MA HY,CNN GRU,232.55453204170564,15.249738753228058
MA HY,RNN GRU,222.596587622579,14.91967116335273
MA HY,RNN LSTM,220.07485175247766,14.834920011664291
