Model,MSE,RMSE
cnn,19660.776731059363,140.21689174653446
rnn,2365605.307003262,1538.0524396142227
gru,2367593.490016128,1538.6986352161778
lstm,2363899.829745009,1537.4979121107804
mvg_cnn,866227.9034761459,930.7136527827159
mvg_rnn,2361080.0288172783,1536.5806288045148
mvg_gru,2368600.93076516,1539.0259681906475
mvg_lstm,2365563.8149817507,1538.0389510613022
auto_cnn,3373.029511869413,58.07778845539328
auto_rnn,2369161.1486951853,1539.2079614838228
auto_gru,2375622.5252506337,1541.3054613705337
auto_lstm,2360838.863643368,1536.5021521766143
mvg_auto_cnn,526205.953856003,725.4005471847971
mvg_auto_rnn,2371165.8355970527,1539.8590310794857
mvg_auto_gru,2364513.2342196275,1537.6973805725324
mvg_auto_lstm,2369336.896643134,1539.2650508093575
hybrid_cnn_lstm,2356033.958495967,1534.9377702356428
hybrid_lstm_rnn_gru,2333164.5000477447,1527.4699669871563
hybrid_cnn_rnn_gru,2348734.3789157774,1532.5581159994479
hybrid_cnn_gru,2350959.906736773,1533.2840267663305
hybrid_rnn_gru,2350776.6747262236,1533.224274111985
hybrid_rnn_lstm,2353165.3614332452,1534.0030513115823
mavg_hybrid_cnn_lstm,2355998.8271636735,1534.9263262983254
mavg_hybrid_lstm_rnn_gru,2334486.7975669713,1527.9027447998683
mavg_hybrid_cnn_rnn_gru,2349557.103646937,1532.8265080063486
mavg_hybrid_cnn_gru,2352217.1502293,1533.693955856024
mavg_hybrid_rnn_gru,2354355.974920393,1534.3910762645855
mavg_hybrid_rnn_lstm,2351610.0896587665,1533.4960350971783
